id,year,popularity
SOEYIHF12AB017B5F4,2011,2
SOGSOUE12A58A76443,2008,0
SOVVDCO12AB0187AF7,1992,6
SOKSZVC12A8C142004,1992,7
SORWTIF12A6D4FAA41,2007,7
SOMVPGP12AB01881FF,2008,0
SOBHQIJ12A6D4FC7D3,1999,14
SOVPBXO12AB0188671,1986,8
SOAMBCI12AC4685087,2009,6
SOQNRHE12A8AE4849A,1962,18
SOSRIVF12AB017DF0E,2016,11
SOPVMQT12A679C8040,1994,36
SOIAZJL12A6D4F854E,1985,22
SOVOTBC12A6D4F696A,2009,1
SOQYSAU12AB018263A,2013,0
SOMMPRY12A8C131C5C,2002,17
SOIHVVZ12A8C138E9D,2001,1
SOJIRAY12A8C141F8B,2018,12
SOMAFQT12A8AE47E8D,2005,0
SOSNDGZ12AB017D82F,2005,0
SOOOCMS12A8C1413F3,1994,0
SONTYQS12AB017F461,2014,32
SOVZOZW12AB018881A,2001,0
SOMZNFA12A6D4F8A2A,2002,14
SOIGFAH12A8AE4697D,2005,2
SOGLXHC12A58A7C184,1999,0
SOSMUXL12A8C136808,1998,1
SOYPBEP12A8AE4853A,2008,73
SOIFGXP12AB0182AE8,2005,2
SODOBCV12A8C135BB3,1993,1
SOCOSSE12AB01828C7,2000,0
SORXMMR12A6D4FBCF7,1995,2
SONWNRW12AB018290A,1949,20
SOSFURN12A58A7AC5F,2009,0
SOBOJXY12A6D4F79A0,2000,4
SOZNTZO12A8C13AA7E,2004,0
SOAODBX12AB01829C5,2008,1
SOSNAWZ12A6D4F74DF,1991,7
SOOLZKK12A58A80000,2002,0
SOVNTGC12AB01818F3,1997,0
SOHOPYC12AB0188EFC,2009,0
SOJCTES12AB01867CC,2000,1
SOLNEKT12AB0187086,1960,9
SOVGOOO12AB0182D50,2016,2
SOBJTHI12A8C133758,2008,3
SONXKIQ12A8C13292A,2002,1
SOIIANJ12AB0184B3E,2008,0
SOVPFPD12A8C13921A,2011,16
SOHVPTO12A8C138ADF,2005,1
SOUXAJS12AB0184E3B,2007,0
SOHKKXU12A67ADA08F,2006,23
SONUOBX12A8C141070,1991,26
SOLVAZN12AB017DBAD,2007,0
SOTKJVT12A6D4FAB59,2018,19
SOMWSER12AAF3B3B53,2009,0
SORZLQQ12A8C137BB6,2011,17
SOENOQK12AB01864B9,2014,11
SOMMZQP12AB0186FFE,1961,75
SOMLDJP12A6D4FD967,2021,74
SOMXLQP12AB018284C,1958,13
SOAHNZK12A6D4F79A9,1996,3
SOOBOIA12AAF3B268E,2001,1
SOPTAMD12A58A7CFF3,2006,5
SOOIZES12AB018A80F,2009,0
SOIZQWP12AAF3B51CA,2022,11
SOWPSOV12A8C13FFE5,1993,4
SOHBUBB12A3F1ED339,2009,0
SOGKLCE12AB0186FDC,1993,2
SOPQFFJ12AB0183400,2002,2
SONNDTL12AB0187AC9,2009,0
SOPILFZ12AC468D188,2009,0
SOHVQGL12AB01810AD,1999,1
SOKDGJC12AB018BFB9,2017,31
SOUGUXL12AB0184B76,1999,4
SOMOKFH12A6D4F9EE6,1972,18
SOZDDPQ12AF72A8BA8,2003,13
SOJOLZE12AC3DFA463,1989,21
SOWHPTY12AB0181D50,2009,14
SOABTKM12A8AE4721E,2001,19
SOJVAAE12A8BED74B1,2009,2
SOHSBLC12AB0183BC9,1999,0
SOPRPES12A8C1372A6,1974,0
SONSKRD12A6D4F9439,2006,5
SOEJBBP12AB017F03E,2016,18
SOXXJWR12AB017F577,1979,4
SOGATPI12AC960DCAC,2000,0
SOQQPAX12AB0185375,2009,0
SOHUTJL12AB017CFDD,2005,14
SOOBQGC12AC468CEAA,2001,0
SONSSZX12AC4687680,1999,5
SOZQSIB12AC46881EC,2009,0
SOQLJZN12A8C141701,1995,0
SOAAVJY12A58A8076E,1966,5
SOAXFFT12A6D4F7B45,2002,0
SODVYMC12A8C139669,1992,0
SOEMZVF12A8C13148C,1996,6
SOTTPDC12AB018B6D1,2013,0
SOUXPIR12A81C21E21,2007,15
SONLHOH12A8C1359D9,2000,1
SOCIKUA12AB0180275,2009,0
SOVJQYF12AB0185B36,1991,6
SOBEDLB12AB017E86C,2020,0
SOQYNGM12A6D4F89D8,2000,1
SOOYIJN12AB017C168,1978,23
SOEDFNB12A8AE48D1A,1992,21
SOIEMSI12AB01802B4,2006,0
SOXRTIF12A8C134238,1993,19
SOZAMZG12A8C137339,1984,3
SOOAOFY12A8C13BDEB,2005,2
SOBJREC12A8C139A10,2007,5
SOFLGMJ12AB01885F6,1990,14
SOJINJO12A8C13C8C9,2009,17
SODHXXN12AC46899D2,2008,13
SOGTNRF12AB0186035,2008,9
SOTCGFW12A6D4F3B84,2001,11
SOKLINL12A8C13447C,2006,0
SOTDSFJ12A8C141206,2021,14
SOAHRPF12AC468D610,2004,1
SOGFGGL12A8AE47040,1987,15
SOFQGMJ12AC468CBA7,2009,0
SOMBDFC12A58A7A14E,1990,12
SOZMPSO12A8C132D83,1975,3
SOZZWWW12A58A8146A,1994,1
SOOHHOU12AB018157C,2011,22
SOSVQAW12A67ADC91A,2007,0
SOHLGRQ12A8C13B296,2016,12
SOWOTCY12AC907329A,2005,1
SOYOOPY12A58A7C4F8,2008,1
SOBCCVG12A8C13804C,1996,46
SOGOZYQ12AB0182359,1982,22
SOYMUKA12A8C13C923,2010,0
